start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Township of Benner,"('-77.80000', '40.90000')",Township of Spring,"('-77.70000', '40.90000')",[84.1235],[59.2835],[0.],[0.],[0.],[6.6057816],[14.093101],13.857783333333334,3.5960797718913335,2016-06-19
Township of Spring,"('-77.70000', '40.90000')",Township of Howard,"('-77.70000', '41.00000')",[86.113396],[61.7234],[0.],[0.],[0.],[6.6057816],[14.093101],19.859199999999998,3.4440730519310137,2016-06-19
Township of Howard,"('-77.70000', '41.00000')",Township of Marion,"('-77.60000', '41.00000')",[84.4466],[60.776604],[0.],[0.],[0.],[6.2994494],[15.4353],15.404166666666667,3.4880908144619465,2016-06-19
Township of Marion,"('-77.60000', '41.00000')",Township of Porter,"('-77.50000', '41.00000')",[80.9492],[58.9892],[0.],[0.],[0.],[6.023307],[17.2249],76.60536666666667,5.543678495918829,2016-06-19
Township of Porter,"('-77.50000', '41.00000')",Township of Logan,"('-77.40000', '41.00000')",[84.2315],[61.5515],[0.],[0.],[0.],[6.2994494],[15.4353],83.88664999999999,5.89353095703569,2016-06-19
Township of Logan,"('-77.40000', '41.00000')",Township of Lamar,"('-77.40000', '41.10000')",[85.7147],[60.9647],[0.],[0.],[0.],[6.9093976],[14.093101],31.138016666666665,3.617538687305597,2016-06-19
Township of Lamar,"('-77.40000', '41.10000')",Township of Wayne,"('-77.30000', '41.10000')",[82.7042],[58.044197],[0.],[0.],[0.],[5.9100847],[16.330101],26.334883333333334,3.78475580454191,2016-06-19
Township of Wayne,"('-77.30000', '41.10000')",Township of Miles,"('-77.30000', '41.00000')",[81.3182],[58.6382],[0.],[0.],[0.],[5.9100847],[16.330101],61.48331666666666,4.697815664598279,2016-06-19
Township of Miles,"('-77.30000', '41.00000')",Township of Limestone,"('-77.20000', '41.10000')",[83.1794],[58.789402],[0.],[0.],[0.],[5.9100847],[16.330101],119.21036666666667,10.080764840705388,2016-06-19
Township of Limestone,"('-77.20000', '41.10000')",Township of Washington,"('-77.10000', '41.10000')",[84.7454],[60.7154],[0.],[0.],[0.],[6.044041],[13.422],103.01936666666667,7.81455620583955,2016-06-19
