start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Reading,"('-75.90000', '40.30000')",Township of Robeson,"('-75.90000', '40.20000')",[48.5681],[30.6581],[4.8],[4.8],[0.],[11.240786],[32.2128],11.338433333333334,10.254456048338582,2012-03-02
Township of Robeson,"('-75.90000', '40.20000')",Honey Brook,"('-75.90000', '40.10000')",[48.8102],[31.1702],[3.2999997],[3.2999997],[0.],[11.608715],[32.2128],15.229199999999999,9.804961330730738,2012-03-02
Honey Brook,"('-75.90000', '40.10000')",Township of West Nantmeal,"('-75.80000', '40.10000')",[48.8138],[31.8938],[3.3000002],[3.3000002],[0.],[11.004585],[31.5417],14.004183333333334,9.404530690442837,2012-03-02
Township of West Nantmeal,"('-75.80000', '40.10000')",Township of Union,"('-75.80000', '40.20000')",[47.8661],[30.5861],[4.8],[4.8],[0.],[11.126686],[33.555],15.876816666666667,10.315079265985231,2012-03-02
Township of Union,"('-75.80000', '40.20000')",Philadelphia,"('-75.70000', '40.10000')",[48.3575],[32.0675],[3.3000002],[3.3000002],[0.],[11.004585],[31.5417],19.94973333333333,9.345270540868752,2012-03-02
Philadelphia,"('-75.70000', '40.10000')",West Pikeland,"('-75.60000', '40.10000')",[48.9425],[33.1025],[3.4999998],[3.4999998],[0.],[10.408663],[29.528399],16.183133333333334,8.838747586109399,2012-03-02
Reading,"('-75.90000', '40.30000')",Township of Robeson,"('-75.90000', '40.20000')",[89.2868],[73.6268],[3.5],[3.5],[0.],[6.6095686],[14.093101],11.338433333333334,2.833347137373935,2021-08-26
Township of Robeson,"('-75.90000', '40.20000')",Honey Brook,"('-75.90000', '40.10000')",[88.6487],[73.7987],[0.2],[0.2],[0.],[6.651079],[14.5405],15.229199999999999,2.7391713564750835,2021-08-26
Honey Brook,"('-75.90000', '40.10000')",Township of West Nantmeal,"('-75.80000', '40.10000')",[89.0717],[73.7717],[1.8],[1.8],[0.],[6.2675934],[15.659],14.004183333333334,2.783676438088583,2021-08-26
Township of West Nantmeal,"('-75.80000', '40.10000')",Township of Union,"('-75.80000', '40.20000')",[88.8656],[73.2056],[3.5],[3.5],[0.],[6.6095686],[14.093101],15.876816666666667,2.8695828333846523,2021-08-26
Township of Union,"('-75.80000', '40.20000')",Philadelphia,"('-75.70000', '40.10000')",[89.0249],[73.7249],[1.8],[1.8],[0.],[6.2675934],[15.659],19.94973333333333,2.816813141666125,2021-08-26
Philadelphia,"('-75.70000', '40.10000')",West Pikeland,"('-75.60000', '40.10000')",[89.65761],[73.5476],[0.8],[0.8],[0.],[6.1058216],[20.8041],16.183133333333334,2.7730779056046493,2021-08-26
