start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Pittsburgh,"('-80.00000', '40.40000')",Munhall,"('-79.90000', '40.40000')",[78.1466],[64.0166],[19.4],[19.4],[0.],[6.651079],[18.119701],17.282500000000002,3.971027697824997,2015-07-04
Munhall,"('-79.90000', '40.40000')",Monroeville,"('-79.80000', '40.40000')",[77.7083],[63.5783],[16.7],[16.7],[0.],[6.8035703],[17.4486],17.204633333333334,3.907393174700013,2015-07-04
Monroeville,"('-79.80000', '40.40000')",Murrysville,"('-79.70000', '40.40000')",[77.5616],[63.431602],[16.7],[16.7],[0.],[6.8035703],[17.4486],24.057333333333336,3.9687567353842836,2015-07-04
Murrysville,"('-79.70000', '40.40000')",Township of North Huntingdon,"('-79.70000', '40.30000')",[77.2151],[63.265102],[4.4999995],[4.4999995],[0.],[7.0740147],[17.896],22.594266666666666,3.5230608236224,2015-07-04
Township of North Huntingdon,"('-79.70000', '40.30000')",Township of Hempfield,"('-79.60000', '40.30000')",[75.7859],[62.3759],[3.7000003],[3.7000003],[0.],[7.8038926],[19.238201],13.800083333333333,3.504854623598945,2015-07-04
Township of Hempfield,"('-79.60000', '40.30000')",Mount Pleasant,"('-79.50000', '40.20000')",[76.6103],[63.9203],[3.7000003],[3.7000003],[0.],[7.8038926],[19.238201],20.875966666666667,3.4352949170067792,2015-07-04
Mount Pleasant,"('-79.50000', '40.20000')",Township of Bullskin,"('-79.50000', '40.10000')",[74.985794],[62.4758],[3.7],[3.7],[0.],[8.23143],[21.2515],17.133216666666666,3.512405906084332,2015-07-04
Township of Bullskin,"('-79.50000', '40.10000')",Township of Donegal,"('-79.40000', '40.10000')",[74.1308],[61.9808],[3.7],[3.7],[0.],[8.23143],[21.2515],16.380366666666667,3.544489093331581,2015-07-04
Township of Donegal,"('-79.40000', '40.10000')",Township of Jefferson,"('-79.20000', '40.10000')",[71.3228],[59.8928],[6.4],[6.4],[0.],[10.026651],[24.159601],32.489133333333335,3.969703620920744,2015-07-04
Township of Jefferson,"('-79.20000', '40.10000')",Township of Lincoln,"('-79.10000', '40.10000')",[72.874405],[61.6244],[5.199999],[5.199999],[0.],[9.511855],[23.4885],38.85316666666667,3.905052500026153,2015-07-04
Township of Lincoln,"('-79.10000', '40.10000')",Township of Somerset,"('-79.10000', '40.00000')",[72.843796],[61.4138],[5.199999],[5.199999],[0.],[9.511855],[23.4885],14.838283333333333,3.63655761938834,2015-07-04
Township of Somerset,"('-79.10000', '40.00000')",Township of Stonycreek,"('-78.90000', '40.00000')",[72.8204],[61.030396],[5.199999],[5.199999],[0.],[9.511855],[23.4885],27.09345,3.7587905104508894,2015-07-04
Township of Stonycreek,"('-78.90000', '40.00000')",Township of Allegheny,"('-78.80000', '40.00000')",[71.4983],[59.708298],[5.199999],[5.199999],[0.],[9.511855],[23.4885],23.512816666666666,3.8273477539760283,2015-07-04
Township of Allegheny,"('-78.80000', '40.00000')",Township of Juniata,"('-78.70000', '40.00000')",[74.8733],[63.353302],[3.5],[3.5],[0.],[5.442856],[20.580399],37.590900000000005,3.69065116452572,2015-07-04
Township of Juniata,"('-78.70000', '40.00000')",Township of Harrison,"('-78.60000', '40.00000')",[75.3458],[63.6458],[6.6999993],[6.6999993],[0.],[5.5924997],[17.6723],29.433333333333334,3.6503157066056398,2015-07-04
Township of Harrison,"('-78.60000', '40.00000')",Bedford County,"('-78.50000', '40.00000')",[75.7535],[63.9635],[6.6999993],[6.6999993],[0.],[5.5924997],[17.6723],36.60733333333334,3.744780301869525,2015-07-04
Bedford County,"('-78.50000', '40.00000')",Township of West Providence,"('-78.40000', '40.00000')",[72.7646],[60.794598],[5.399999],[5.399999],[0.],[7.8263035],[21.2515],95.13781666666667,7.170760416101336,2015-07-04
Township of West Providence,"('-78.40000', '40.00000')",Township of East Providence,"('-78.30000', '40.00000')",[75.44209],[63.5621],[7.4999986],[7.4999986],[0.],[5.3874097],[17.896],95.87361666666668,7.11621306262232,2015-07-04
Township of East Providence,"('-78.30000', '40.00000')",Township of Brush Creek,"('-78.20000', '40.00000')",[74.2586],[62.378597],[7.4999986],[7.4999986],[0.],[5.3874097],[17.896],35.41916666666667,3.8662809855908047,2015-07-04
Township of Brush Creek,"('-78.20000', '40.00000')",Township of Licking Creek,"('-78.10000', '40.00000')",[75.6428],[64.122795],[8.999999],[8.999999],[0.],[5.07163],[17.4486],9.723733333333334,3.562375673197275,2015-07-04
Township of Licking Creek,"('-78.10000', '40.00000')",Township of Wells,"('-78.10000', '40.10000')",[74.3855],[63.045498],[8.999999],[8.999999],[0.],[5.07163],[17.4486],31.15263333333333,3.8017149816640416,2015-07-04
Township of Wells,"('-78.10000', '40.10000')",Township of Taylor,"('-78.00000', '40.10000')",[74.642],[63.932],[8.999999],[8.999999],[0.],[5.07163],[17.4486],42.160666666666664,3.952066647147219,2015-07-04
Township of Taylor,"('-78.00000', '40.10000')",Township of Dublin,"('-77.90000', '40.10000')",[74.759],[64.229004],[8.999999],[8.999999],[0.],[5.07163],[17.4486],18.337783333333334,3.5876182608755456,2015-07-04
Township of Dublin,"('-77.90000', '40.10000')",Metal,"('-77.80000', '40.10000')",[75.016396],[64.5764],[8.299999],[8.299999],[0.],[4.7559276],[17.6723],15.773266666666666,3.5249406880925895,2015-07-04
Metal,"('-77.80000', '40.10000')",Township of Letterkenny,"('-77.70000', '40.10000')",[73.4765],[63.5765],[8.299999],[8.299999],[0.],[4.7559276],[17.6723],15.1082,3.5925756120793135,2015-07-04
Township of Letterkenny,"('-77.70000', '40.10000')",Township of Fannett,"('-77.70000', '40.20000')",[73.0949],[63.734898],[7.2999997],[7.2999997],[0.],[5.410581],[16.5538],23.95535,3.603901618344868,2015-07-04
