start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Township of Hemlock,"('-76.50000', '41.00000')",Township of Main,"('-76.40000', '41.00000')",[87.4661],[66.046104],[0.],[0.],[0.],[6.3979764],[16.5538],15.81475,3.1392856845543027,2015-09-04
Township of Main,"('-76.40000', '41.00000')",Township of Mifflin,"('-76.30000', '41.00000')",[88.2203],[68.060295],[0.],[0.],[0.],[7.203696],[19.6856],17.12755,3.0297682738809844,2015-09-04
Township of Mifflin,"('-76.30000', '41.00000')",Township of Black Creek,"('-76.20000', '41.00000')",[86.598495],[67.5185],[0.1],[0.1],[0.],[7.2590566],[19.461899],18.031716666666668,3.068438265115007,2015-09-04
Township of Black Creek,"('-76.20000', '41.00000')",Township of Sugarloaf,"('-76.10000', '41.00000')",[86.603],[68.153],[0.2],[0.2],[0.],[7.5695267],[20.133],16.896733333333334,3.0300870607769874,2015-09-04
Township of Sugarloaf,"('-76.10000', '41.00000')",Township of Hazle,"('-76.00000', '41.00000')",[85.2179],[67.3979],[0.2],[0.2],[0.],[7.5695267],[20.133],17.19976666666667,3.0740639923336057,2015-09-04
Township of Hazle,"('-76.00000', '41.00000')",Township of Dorrance,"('-76.00000', '41.10000')",[86.1512],[67.6112],[0.2],[0.2],[0.],[7.5695267],[20.133],18.95671666666667,3.072103642661194,2015-09-04
Township of Dorrance,"('-76.00000', '41.10000')",Township of Dennison,"('-75.90000', '41.10000')",[82.5314],[65.5214],[0.1],[0.1],[0.],[7.1092973],[18.119701],17.46623333333333,3.1827427603448846,2015-09-04
Township of Dennison,"('-75.90000', '41.10000')",Township of Kidder,"('-75.70000', '41.10000')",[82.1453],[65.8553],[0.2],[0.2],[0.],[8.0656185],[20.580399],29.775283333333334,3.2799013757795654,2015-09-04
Township of Kidder,"('-75.70000', '41.10000')",Township of Tobyhanna,"('-75.60000', '41.10000')",[81.6422],[66.072205],[0.1],[0.1],[0.],[7.5031257],[18.790798],11.48685,3.125700634693146,2015-09-04
Township of Tobyhanna,"('-75.60000', '41.10000')",Township of Paradise,"('-75.30000', '41.10000')",[82.958],[68.468],[0.8],[0.8],[0.],[8.084209],[21.0278],23.1486,3.0757619542446397,2015-09-04
Township of Paradise,"('-75.30000', '41.10000')",Township of Jackson,"('-75.30000', '41.00000')",[82.9058],[68.8658],[0.8],[0.8],[0.],[8.084209],[21.0278],18.33235,3.0187401197638257,2015-09-04
Township of Jackson,"('-75.30000', '41.00000')",Township of Stroud,"('-75.20000', '41.00000')",[84.6428],[70.9628],[3.9],[3.9],[0.],[8.5006],[22.5937],15.028733333333333,2.990410517378763,2015-09-04
Township of Hemlock,"('-76.50000', '41.00000')",Township of Main,"('-76.40000', '41.00000')",[59.5274],[28.3874],[0.],[0.],[0.],[5.922771],[11.4087],15.81475,11.286513422469708,2018-04-22
Township of Main,"('-76.40000', '41.00000')",Township of Mifflin,"('-76.30000', '41.00000')",[60.4067],[29.6267],[0.],[0.],[0.],[6.1058216],[11.6324],17.12755,10.399986716643527,2018-04-22
Township of Mifflin,"('-76.30000', '41.00000')",Township of Black Creek,"('-76.20000', '41.00000')",[59.2016],[28.4216],[0.],[0.],[0.],[6.1058216],[11.6324],18.031716666666668,11.271234356256917,2018-04-22
Township of Black Creek,"('-76.20000', '41.00000')",Township of Sugarloaf,"('-76.10000', '41.00000')",[59.576897],[32.2169],[0.],[0.],[0.],[6.1872363],[12.750899],16.896733333333334,8.924756532837776,2018-04-22
Township of Sugarloaf,"('-76.10000', '41.00000')",Township of Hazle,"('-76.00000', '41.00000')",[58.4726],[30.6626],[0.],[0.],[0.],[5.7295156],[14.764199],17.19976666666667,9.755867690572174,2018-04-22
Township of Hazle,"('-76.00000', '41.00000')",Township of Dorrance,"('-76.00000', '41.10000')",[59.170097],[31.1801],[0.],[0.],[0.],[5.7032533],[13.869399],18.95671666666667,9.473146552377727,2018-04-22
Township of Dorrance,"('-76.00000', '41.10000')",Township of Dennison,"('-75.90000', '41.10000')",[56.3891],[31.0991],[0.],[0.],[0.],[7.4495792],[17.2249],17.46623333333333,9.50910738888333,2018-04-22
Township of Dennison,"('-75.90000', '41.10000')",Township of Kidder,"('-75.70000', '41.10000')",[56.5466],[33.9566],[0.],[0.],[0.],[7.791057],[18.119701],29.775283333333334,8.26649621971886,2018-04-22
Township of Kidder,"('-75.70000', '41.10000')",Township of Tobyhanna,"('-75.60000', '41.10000')",[56.3054],[35.1554],[0.],[0.],[0.],[8.750074],[19.6856],11.48685,7.66879872546177,2018-04-22
Township of Tobyhanna,"('-75.60000', '41.10000')",Township of Paradise,"('-75.30000', '41.10000')",[59.2124],[36.9824],[0.],[0.],[0.],[9.223387],[19.9093],23.1486,7.123973634293034,2018-04-22
Township of Paradise,"('-75.30000', '41.10000')",Township of Jackson,"('-75.30000', '41.00000')",[59.683098],[37.5431],[0.],[0.],[0.],[8.503543],[17.896],18.33235,6.9208326039171,2018-04-22
Township of Jackson,"('-75.30000', '41.00000')",Township of Stroud,"('-75.20000', '41.00000')",[62.2769],[33.4769],[0.],[0.],[0.],[6.8035703],[16.1064],15.028733333333333,8.340756991409828,2018-04-22
Township of Hemlock,"('-76.50000', '41.00000')",Township of Main,"('-76.40000', '41.00000')",[87.6074],[59.0774],[0.],[0.],[0.],[8.512365],[19.238201],15.81475,3.6204794114987684,2021-07-05
